domain,org_type,org_name,source,source_ref,is_active,notes
abbgymnasiet.se,enskild_huvudman,INDUSTRITEKNISKA GYMNASIET BERGSLAGEN AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566081740,true,
abfstockholm.se,enskild_huvudman,ABF-S AVDELNING I STOCKHOLM,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8020057405,true,
academedia.se,enskild_huvudman,DBGY Regenten AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5565693297,true,
adelovsfriskola.se,enskild_huvudman,ADELÖVS FRISKOLEFÖRENING,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024189154,true,
adventist.se,enskild_huvudman,EKEBYHOLMSSKOLAN AKTIEBOLAG,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5562512425,true,
agapenorrkoping.se,enskild_huvudman,Nyfo AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567812291,true,
ahavaxthuset.se,enskild_huvudman,AHA UTBILDNING AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566146956,true,
akademiskaskolan.se,enskild_huvudman,Frihab AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5569171936,false,
akersfriskola.se,enskild_huvudman,ÖSTERÅKERS FRISKOLA AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5565895777,true,
aktiviaskolan.se,enskild_huvudman,Aktivia AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567812069,true,
alazharskolan.com,enskild_huvudman,STIFTELSEN FÖR BILDNING I SVERIGE,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024044888,true,
albatross-montessori.se,enskild_huvudman,ALBATROSS MONTESSORISKOLA,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8136004168,true,
algebrautbildning.se,enskild_huvudman,ALGEBRAUTBILDNING FÖRENINGEN,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024730445,true,
alghultsfriskola.se,enskild_huvudman,Fria 48:an Ekonomisk förening,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696125579,true,
alingsasyg.se,enskild_huvudman,Alingsås Yrkesgymnasium AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567290548,true,
allstaskola.se,enskild_huvudman,ALLSTABYGDENS SKOLFÖRENING,official_org_site,https://allstaskola.se/,true,confirmed_from_skolverket_missing_url_queue
