domain,org_type,org_name,source,source_ref,is_active,notes
ale.se,kommun,Ale kommun,skr_kommunlista,http://www.ale.se/,true,
alingsas.se,kommun,Alingsås kommun,skr_kommunlista,http://www.alingsas.se/,true,
alvesta.se,kommun,Alvesta kommun,skr_kommunlista,http://www.alvesta.se/,true,
aneby.se,kommun,Aneby kommun,skr_kommunlista,http://www.aneby.se/,true,
arboga.se,kommun,Arboga kommun,skr_kommunlista,http://www.arboga.se/,true,
arjeplog.se,kommun,Arjeplog kommun,skr_kommunlista,http://www.arjeplog.se/,true,
arvidsjaur.se,kommun,Arvidsjaur kommun,skr_kommunlista,http://www.arvidsjaur.se/,true,
arvika.se,kommun,Arvika kommun,skr_kommunlista,http://www.arvika.se/,true,
askersund.se,kommun,Askersund kommun,skr_kommunlista,http://www.askersund.se/,true,
avesta.se,kommun,Avesta kommun,skr_kommunlista,http://www.avesta.se/,true,
bengtsfors.se,kommun,Bengtsfors kommun,skr_kommunlista,http://www.bengtsfors.se/,true,
berg.se,kommun,Berg kommun,skr_kommunlista,http://www.berg.se/,true,
bjurholm.se,kommun,Bjurholm kommun,skr_kommunlista,http://www.bjurholm.se/,true,
bjuv.se,kommun,Bjuv kommun,skr_kommunlista,http://www.bjuv.se/,true,
boden.se,kommun,Boden kommun,skr_kommunlista,http://www.boden.se/,true,
bollebygd.se,kommun,Bollebygd kommun,skr_kommunlista,http://www.bollebygd.se/,true,
bollnas.se,kommun,Bollnäs kommun,skr_kommunlista,http://www.bollnas.se/,true,
borgholm.se,kommun,Borgholm kommun,skr_kommunlista,http://www.borgholm.se/,true,
borlange.se,kommun,Borlänge kommun,skr_kommunlista,http://www.borlange.se/,true,
boras.se,kommun,Borås kommun,skr_kommunlista,http://www.boras.se/,true,
botkyrka.se,kommun,Botkyrka kommun,skr_kommunlista,http://www.botkyrka.se/,true,
boxholm.se,kommun,Boxholm kommun,skr_kommunlista,http://www.boxholm.se/,true,
bromolla.se,kommun,Bromölla kommun,skr_kommunlista,http://www.bromolla.se/,true,
bracke.se,kommun,Bräcke kommun,skr_kommunlista,http://www.bracke.se/,true,
burlov.se,kommun,Burlöv kommun,skr_kommunlista,http://www.burlov.se/,true,
bastad.se,kommun,Båstad kommun,skr_kommunlista,http://www.bastad.se/,true,
dalsed.se,kommun,Dals-Ed kommun,skr_kommunlista,http://www.dalsed.se/,true,
danderyd.se,kommun,Danderyd kommun,skr_kommunlista,https://www.danderyd.se/,true,
degerfors.se,kommun,Degerfors kommun,skr_kommunlista,http://www.degerfors.se/,true,
dorotea.se,kommun,Dorotea kommun,skr_kommunlista,http://www.dorotea.se/,true,
eda.se,kommun,Eda kommun,skr_kommunlista,http://www.eda.se/,true,
ekero.se,kommun,Ekerö kommun,skr_kommunlista,http://www.ekero.se/,true,
eksjo.se,kommun,Eksjö kommun,skr_kommunlista,http://www.eksjo.se/,true,
emmaboda.se,kommun,Emmaboda kommun,skr_kommunlista,http://www.emmaboda.se/,true,
enkoping.se,kommun,Enköping kommun,skr_kommunlista,http://www.enkoping.se/,true,
eskilstuna.se,kommun,Eskilstuna kommun,skr_kommunlista,http://www.eskilstuna.se/,true,
eslov.se,kommun,Eslöv kommun,skr_kommunlista,http://www.eslov.se/,true,
essunga.se,kommun,Essunga kommun,skr_kommunlista,http://www.essunga.se/,true,
fagersta.se,kommun,Fagersta kommun,skr_kommunlista,http://www.fagersta.se/,true,
falkenberg.se,kommun,Falkenberg kommun,skr_kommunlista,https://kommun.falkenberg.se/,true,original_url=https://kommun.falkenberg.se/
falkoping.se,kommun,Falköping kommun,skr_kommunlista,http://www.falkoping.se/,true,
falun.se,kommun,Falun kommun,skr_kommunlista,http://www.falun.se/,true,
filipstad.se,kommun,Filipstad kommun,skr_kommunlista,http://www.filipstad.se/,true,
finspang.se,kommun,Finspång kommun,skr_kommunlista,http://www.finspang.se/,true,
flen.se,kommun,Flen kommun,skr_kommunlista,http://www.flen.se/,true,
forshaga.se,kommun,Forshaga kommun,skr_kommunlista,http://www.forshaga.se/,true,
fargelanda.se,kommun,Färgelanda kommun,skr_kommunlista,http://www.fargelanda.se/,true,
gagnef.se,kommun,Gagnef kommun,skr_kommunlista,http://www.gagnef.se/,true,
gislaved.se,kommun,Gislaved kommun,skr_kommunlista,http://www.gislaved.se/,true,
gnesta.se,kommun,Gnesta kommun,skr_kommunlista,http://www.gnesta.se/,true,
gnosjo.se,kommun,Gnosjö kommun,skr_kommunlista,https://www.gnosjo.se/,true,
gotland.se,kommun,Gotland kommun,skr_kommunlista,http://www.gotland.se/,true,
grums.se,kommun,Grums kommun,skr_kommunlista,http://www.grums.se/,true,
grastorp.se,kommun,Grästorp kommun,skr_kommunlista,http://www.grastorp.se/,true,
