cid,hazard_key,display_name,compound_url,candidate_index,candidate_url,candidate_source,likely_sds
176,CH3COOH,Ättiksyra (CH3COOH),https://pubchem.ncbi.nlm.nih.gov/compound/176,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
176,CH3COOH,Ättiksyra (CH3COOH),https://pubchem.ncbi.nlm.nih.gov/compound/176,1,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
176,CH3COOH,Ättiksyra (CH3COOH),https://pubchem.ncbi.nlm.nih.gov/compound/176,2,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
176,CH3COOH,Ättiksyra (CH3COOH),https://pubchem.ncbi.nlm.nih.gov/compound/176,3,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0004.pdf,safety,false
176,CH3COOH,Ättiksyra (CH3COOH),https://pubchem.ncbi.nlm.nih.gov/compound/176,4,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
176,CH3COOH,Ättiksyra (CH3COOH),https://pubchem.ncbi.nlm.nih.gov/compound/176,5,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
180,C3H6O,Aceton,https://pubchem.ncbi.nlm.nih.gov/compound/180,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
180,C3H6O,Aceton,https://pubchem.ncbi.nlm.nih.gov/compound/180,1,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
180,C3H6O,Aceton,https://pubchem.ncbi.nlm.nih.gov/compound/180,2,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
180,C3H6O,Aceton,https://pubchem.ncbi.nlm.nih.gov/compound/180,3,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0006.pdf,safety,false
180,C3H6O,Aceton,https://pubchem.ncbi.nlm.nih.gov/compound/180,4,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
180,C3H6O,Aceton,https://pubchem.ncbi.nlm.nih.gov/compound/180,5,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
222,NH3,Ammoniak (NH3),https://pubchem.ncbi.nlm.nih.gov/compound/222,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
222,NH3,Ammoniak (NH3),https://pubchem.ncbi.nlm.nih.gov/compound/222,1,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
222,NH3,Ammoniak (NH3),https://pubchem.ncbi.nlm.nih.gov/compound/222,2,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
222,NH3,Ammoniak (NH3),https://pubchem.ncbi.nlm.nih.gov/compound/222,3,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0084.pdf,safety,false
222,NH3,Ammoniak (NH3),https://pubchem.ncbi.nlm.nih.gov/compound/222,4,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
222,NH3,Ammoniak (NH3),https://pubchem.ncbi.nlm.nih.gov/compound/222,5,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
243,C7H6O2,Bensoesyra,https://pubchem.ncbi.nlm.nih.gov/compound/243,0,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0209.pdf,safety,false
243,C7H6O2,Bensoesyra,https://pubchem.ncbi.nlm.nih.gov/compound/243,1,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
243,C7H6O2,Bensoesyra,https://pubchem.ncbi.nlm.nih.gov/compound/243,2,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
311,C6H8O7,Citronsyra,https://pubchem.ncbi.nlm.nih.gov/compound/311,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
313,HCl,Saltsyra (HCl),https://pubchem.ncbi.nlm.nih.gov/compound/313,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
313,HCl,Saltsyra (HCl),https://pubchem.ncbi.nlm.nih.gov/compound/313,1,https://www.epa.gov/sites/default/files/2016-09/documents/hydrochloric-acid.pdf,safety,false
